price,area
13300000,7420
12250000,8960
12215000,9960
11410000,7500
10850000,8580
10150000,16200
9870000,8100
9800000,5750
9681000,13200
9310000,6000
9240000,6550
9100000,3500
8960000,7800
8890000,6600
8855000,8500
8750000,4600
8680000,6420
8645000,4320
8575000,7155
8540000,8050
8463000,4560
8400000,8800
8295000,6540
8190000,8875
8120000,7950
8080940,5500
8043000,7475
7980000,7000
7962500,4880
7910000,5960
7875000,6840
7840000,7482
7700000,9000
7560000,6360
7525000,6480
7490000,4300
7455000,7440
7420000,6325
7350000,5150
7343000,11440
7245000,7680
7210000,8880
7140000,6240
7070000,11175
7035000,7700
7000000,12090
6930000,4000
6895000,5020
6860000,4040
6790000,4260
6755000,6500
6720000,5700
6685000,10500
6650000,3760
6629000,8250
6615000,6670
6580000,3960
6510000,7410
6475000,5000
6440000,6750
6419000,4800
6405000,7200
6300000,4100
6293000,6400
6265000,6350
6230000,4500
6195000,5450
6160000,3240
6125000,6615
6107500,8372
6090000,9620
6083000,6800
6020000,8000
5950000,6900
5943000,3700
5880000,7020
5873000,7231
5866000,6254
5810000,7320
5803000,6525
5775000,15600
5740000,7160
5652500,11460
5600000,5828
5565000,5200
5530000,5400
5523000,4640
5495000,5800
5460000,6660
5425000,4700
5390000,5136
5383000,4400
5320000,3300
5285000,3650
5250000,6100
5243000,2817
5229000,7980
5215000,3150
5145000,6210
5110000,6825
5075000,6710
5040000,6450
5033000,10269
5005000,8400
4970000,5300
4956000,3800
4935000,9800
4907000,8520
4900000,6050
4893000,7085
4865000,3180
4830000,3410
4795000,3000
4767000,11410
4760000,5720
4753000,3540
4690000,7600
4655000,10700
4620000,8150
4613000,4410
4585000,7686
4550000,2800
4543000,5948
4515000,4200
4480000,4520
4473000,4095
4445000,4120
4410000,4770
4403000,6300
4382000,2970
4375000,6720
4340000,4646
4319000,12900
4305000,3420
4277000,4995
4270000,4350
4235000,4160
4200000,6040
4193000,6862
4165000,4815
4130000,9166
4123000,6321
4098500,10240
4095000,6440
4060000,5170
4025000,3630
4007500,9667
3990000,3745
3920000,3880
3885000,5680
3850000,2870
3836000,5010
3815000,4510
3780000,3840
3773000,3640
3745000,2550
3710000,5320
3703000,5360
3675000,3520
3640000,4990
3633000,3510
3605000,3450
3570000,9860
3535000,5885
3500000,3162
3493000,3750
3465000,3968
3430000,4900
3423000,2880
3395000,4920
3360000,4950
3353000,3900
3332000,1905
3325000,4075
3290000,4032
3255000,10360
3234000,3400
3220000,2175
3150000,4360
3143000,7770
3129000,6650
3118850,2787
3115000,5040
3087000,5850
3080000,2610
3045000,2953
3010000,2747
3003000,2325
2975000,4079
2961000,2145
2940000,4840
2870000,4080
2852500,4046
2835000,4632
2800000,5985
2730000,6060
2695000,3600
2660000,3680
2653000,5600
2604000,5900
2590000,4992
2520000,4340
2485000,3460
2450000,4050
2408000,7260
2380000,3290
2345000,3816
2310000,8080
2275000,3780
2240000,7152
2233000,3850
2135000,2015
2100000,2176
1960000,3350
1890000,4820
1855000,5830
1820000,2856
1767150,2520
1750000,6930
